Threshold,Net Benefit,Accuracy,Precision,Recall,Sensitivity,Specificity,PPV,NPV,F1,AUROC,Brier,TP,FP,TN,FN
0.1,0.2338946088946089,0.6782496782496783,0.4691114245416079,0.9337450870297586,0.9337450870297586,0.5756482525366403,0.4691114245416079,0.9558217895919131,0.6244836650394292,0.8976695635440358,0.11220907323785885,1663,1882,2553,118
0.2,0.20133526383526384,0.778957528957529,0.5765325310267018,0.8607523862998315,0.8607523862998315,0.7461104847801578,0.5765325310267018,0.9302783244307,0.6905405405405406,0.8976695635440358,0.11220907323785885,1533,1126,3309,248
0.3,0.17169976098547526,0.8378378378378378,0.7143649473100389,0.7231892195395845,0.7231892195395845,0.8838782412626832,0.7143649473100389,0.8882846136415137,0.71875,0.8976695635440358,0.11220907323785885,1288,515,3920,493
0.4,0.15336765336765337,0.8516731016731016,0.8014035087719298,0.6412128017967434,0.6412128017967434,0.9361894024802706,0.8014035087719298,0.8666249217282405,0.7124142233312539,0.8976695635440358,0.11220907323785885,1142,283,4152,639
0.5,0.13497425997425996,0.8484555984555985,0.8552074513124471,0.5670971364402021,0.5670971364402021,0.9614430665163473,0.8552074513124471,0.8468718967229394,0.6819716407832546,0.8976695635440358,0.11220907323785885,1010,171,4264,771
0.6,0.11381917631917632,0.8354247104247104,0.8947916666666667,0.4823133071308254,0.4823133071308254,0.9772266065388951,0.8947916666666667,0.8245814307458144,0.6267785479751915,0.8976695635440358,0.11220907323785885,859,101,4334,922
0.7,0.08789146289146291,0.8114543114543115,0.9331436699857752,0.36833239752947783,0.36833239752947783,0.989402480270575,0.9331436699857752,0.7959368764737892,0.5281803542673108,0.8976695635440358,0.11220907323785885,656,47,4388,1125
0.8,0.058075933075933076,0.7821750321750321,0.9532908704883227,0.25210555867490175,0.25210555867490175,0.9950394588500564,0.9532908704883227,0.7681462140992167,0.3987566607460036,0.8976695635440358,0.11220907323785885,449,22,4413,1332
0.9,0.010296010296010296,0.7237773487773488,1.0,0.035934868051656375,0.035934868051656375,1.0,1.0,0.7209037711313394,0.06937669376693767,0.8976695635440358,0.11220907323785885,64,0,4435,1717
