dbname,Missing feature cells,Observed feature cells,Total feature cells,Overall missing percent,N residents/rows
C0128,447,2946,3393,0.1317418213969938,117
C013,123,3212,3335,0.036881559220389805,115
C0133,9,948,957,0.009404388714733543,33
C0135,54,1541,1595,0.03385579937304075,55
C0136,96,1296,1392,0.06896551724137931,48
C0137,84,2555,2639,0.03183023872679045,91
C0139,57,3307,3364,0.01694411414982164,116
C015,36,1211,1247,0.028869286287089013,43
C0151,66,2660,2726,0.02421129860601614,94
C0152,105,1316,1421,0.07389162561576355,49
C0153,33,692,725,0.04551724137931035,25
C0156,15,1203,1218,0.012315270935960592,42
C0157,126,2832,2958,0.04259634888438134,102
C0158,42,1872,1914,0.0219435736677116,66
C0159,42,1408,1450,0.028965517241379312,50
C016,18,1258,1276,0.014106583072100314,44
C0161,60,1680,1740,0.034482758620689655,60
C0162,75,1781,1856,0.04040948275862069,64
C0163,6,1792,1798,0.0033370411568409346,62
C0165,51,4647,4698,0.010855683269476373,162
C0168,150,3562,3712,0.04040948275862069,128
C0169,6,1328,1334,0.004497751124437781,46
C017,18,1577,1595,0.01128526645768025,55
C0173,36,2197,2233,0.0161218092252575,77
C0175,54,1541,1595,0.03385579937304075,55
C0176,123,5648,5771,0.021313463871079536,199
C0177,27,1626,1653,0.016333938294010888,57
C0178,177,3999,4176,0.042385057471264365,144
C0179,192,4071,4263,0.045038705137227304,147
C018,78,1952,2030,0.03842364532019704,70
C0181,51,2124,2175,0.023448275862068966,75
C0182,162,5174,5336,0.030359820089955022,184
C0183,12,1090,1102,0.010889292196007259,38
C0185,63,2518,2581,0.024409143742735374,89
C0186,129,1263,1392,0.09267241379310345,48
C0187,15,1290,1305,0.011494252873563218,45
C0189,33,1591,1624,0.020320197044334975,56
C019,9,1847,1856,0.004849137931034483,64
C0191,36,2748,2784,0.01293103448275862,96
C0195,42,1756,1798,0.02335928809788654,62
C0197,105,1432,1537,0.06831489915419649,53
C0198,9,1209,1218,0.007389162561576354,42
C021,117,4668,4785,0.02445141065830721,165
C0210,57,3887,3944,0.014452332657200811,136
C0213,96,2775,2871,0.03343782654127482,99
C0217,66,2341,2407,0.027420024927295387,83
C0219,33,1446,1479,0.02231237322515213,51
C022,1326,1690,3016,0.4396551724137931,104
C0220,60,1274,1334,0.044977511244377814,46
C0222,48,2127,2175,0.022068965517241378,75
