Feature,Feature_EN,ApproxMeanAbsSHAP,ApproxCI_low,ApproxCI_high,OfficialFeature_EN,OfficialMeanAbsSHAP,MeanAbsSHAP,CI_low,CI_high,Rank,Bootstrap N,SHAP cohort,SHAP rows,CI method
意識總分_diff,Consciousness Score Difference,0.0006777308685093188,0.0006471028842431295,0.000709748552154819,Consciousness Score Difference,0.000677729404066,0.000677729404066,0.0006471014859808702,0.0007097470185275733,16,1000,Temporal external validation for CI; official point estimates from RESULTS/tables,6216,"Bootstrap interval width from probability-scale XGBoost TreeSHAP approximation, rescaled to official MeanAbsSHAP"
last_has_feeding_tube,Has Feeding Tube (Last),0.0,0.0,0.0,Has Feeding Tube (Last),0.0006413074930225,0.0006413074930225,0.0006413074930225,0.0006413074930225,17,1000,Temporal external validation for CI; official point estimates from RESULTS/tables,6216,"Bootstrap interval width from probability-scale XGBoost TreeSHAP approximation, rescaled to official MeanAbsSHAP"
first_has_feeding_tube,Has Feeding Tube (First),0.0,0.0,0.0,Has Feeding Tube (First),0.0005630092988201,0.0005630092988201,0.0005630092988201,0.0005630092988201,18,1000,Temporal external validation for CI; official point estimates from RESULTS/tables,6216,"Bootstrap interval width from probability-scale XGBoost TreeSHAP approximation, rescaled to official MeanAbsSHAP"
diff_has_feeding_tube,Feeding Tube Change,0.000547842106069685,0.00047949359570376144,0.0006219312439699635,Feeding Tube Change,0.0005478428737097,0.0005478428737097,0.0004794942675733875,0.0006219321154241729,19,1000,Temporal external validation for CI; official point estimates from RESULTS/tables,6216,"Bootstrap interval width from probability-scale XGBoost TreeSHAP approximation, rescaled to official MeanAbsSHAP"
意識總分Max,Consciousness Score Max,0.0,0.0,0.0,Consciousness Score Max,0.0005369138697163,0.0005369138697163,0.0005369138697163,0.0005369138697163,20,1000,Temporal external validation for CI; official point estimates from RESULTS/tables,6216,"Bootstrap interval width from probability-scale XGBoost TreeSHAP approximation, rescaled to official MeanAbsSHAP"
first_has_denture,Has Denture (First),0.0,0.0,0.0,Has Denture (First),0.0005162391676477,0.0005162391676477,0.0005162391676477,0.0005162391676477,21,1000,Temporal external validation for CI; official point estimates from RESULTS/tables,6216,"Bootstrap interval width from probability-scale XGBoost TreeSHAP approximation, rescaled to official MeanAbsSHAP"
diff_has_denture,Denture Change,0.0,0.0,0.0,Denture Change,0.0005018082744499,0.0005018082744499,0.0005018082744499,0.0005018082744499,22,1000,Temporal external validation for CI; official point estimates from RESULTS/tables,6216,"Bootstrap interval width from probability-scale XGBoost TreeSHAP approximation, rescaled to official MeanAbsSHAP"
ADL_明顯惡化,ADL Significant Deterioration,0.0,0.0,0.0,ADL Significant Deterioration,0.0005007644751162,0.0005007644751162,0.0005007644751162,0.0005007644751162,23,1000,Temporal external validation for CI; official point estimates from RESULTS/tables,6216,"Bootstrap interval width from probability-scale XGBoost TreeSHAP approximation, rescaled to official MeanAbsSHAP"
first_ 意識總分,Consciousness Score (First),0.0,0.0,0.0,Consciousness Score (First),0.0004357186324779,0.0004357186324779,0.0004357186324779,0.0004357186324779,24,1000,Temporal external validation for CI; official point estimates from RESULTS/tables,6216,"Bootstrap interval width from probability-scale XGBoost TreeSHAP approximation, rescaled to official MeanAbsSHAP"
last_has_denture,Has Denture (Last),0.0,0.0,0.0,Has Denture (Last),0.0004313073242535,0.0004313073242535,0.0004313073242535,0.0004313073242535,25,1000,Temporal external validation for CI; official point estimates from RESULTS/tables,6216,"Bootstrap interval width from probability-scale XGBoost TreeSHAP approximation, rescaled to official MeanAbsSHAP"
ADL_first_CouldNot,ADL First Could Not Perform,0.00041972676532806285,0.0003762566164985157,0.0004651184621387841,ADL First Could Not Perform,0.000419727456247,0.000419727456247,0.00037625723586054606,0.0004651192277777189,26,1000,Temporal external validation for CI; official point estimates from RESULTS/tables,6216,"Bootstrap interval width from probability-scale XGBoost TreeSHAP approximation, rescaled to official MeanAbsSHAP"
ADL_last_CouldNot,ADL Last Could Not Perform,0.00039414289418864185,0.00034678393840526634,0.00044353835836512815,ADL Last Could Not Perform,0.0003941421175611,0.0003941421175611,0.00034678325509481824,0.0004435374844077131,27,1000,Temporal external validation for CI; official point estimates from RESULTS/tables,6216,"Bootstrap interval width from probability-scale XGBoost TreeSHAP approximation, rescaled to official MeanAbsSHAP"
had_fall,Had Fall,0.0,0.0,0.0,Had Fall,0.0002595302726678,0.0002595302726678,0.0002595302726678,0.0002595302726678,28,1000,Temporal external validation for CI; official point estimates from RESULTS/tables,6216,"Bootstrap interval width from probability-scale XGBoost TreeSHAP approximation, rescaled to official MeanAbsSHAP"
last_ 意識總分,Consciousness Score (Last),0.0,0.0,0.0,Consciousness Score (Last),0.000243406674692,0.000243406674692,0.000243406674692,0.000243406674692,29,1000,Temporal external validation for CI; official point estimates from RESULTS/tables,6216,"Bootstrap interval width from probability-scale XGBoost TreeSHAP approximation, rescaled to official MeanAbsSHAP"
