Unnamed: 0,Toal,Unnamed: 2
北部,2112,0.10690423162583519
中部,4019,0.2034318687993521
南部,13447,0.6806539785381657
東部,174,0.008807450900992103
離島,4,0.00020247013565499088
總數(人),19756,
