Metric,Estimate,95% CI Low,95% CI High,Formatted
Calibration Intercept,0.5162610554979665,0.4472143513487325,0.5970245057309164,0.516 (0.447-0.597)
Calibration Slope,1.2714007813286843,1.216507508458244,1.3415177840376786,1.271 (1.217-1.342)
Observed,1781.0,1781.0,1781.0,1781.000 (1781.000-1781.000)
Expected,1578.5928965769708,1550.4512900155737,1608.072832135437,1578.593 (1550.451-1608.073)
Observed/Expected,1.1282199507307615,1.1075369003736097,1.1486978203448666,1.128 (1.108-1.149)
Brier,0.11220907323785885,0.10800707821252117,0.11610621902457187,0.112 (0.108-0.116)
