Risk group,N,Deaths within horizon,Event percent,Median predicted risk
Low predicted risk,2072,51,0.024613899613899613,0.03647966682910919
Medium predicted risk,2072,356,0.1718146718146718,0.1560753881931305
High predicted risk,2072,1374,0.6631274131274131,0.5760523676872253
