Analysis,Predictor,Hazard Ratio,95% CI Low,95% CI High,P value,N,Events
Development,ML predicted risk per 0.10 increase,1.6670770560151185,1.651288332677126,1.68301674256148,0.0,23901,5272
Temporal external validation,ML predicted risk per 0.10 increase,1.6408652929908392,1.6136013757559757,1.6685898699612218,0.0,6216,1781
