Model,AUROC,AUROC 95% CI,AUROC SD,Accuracy,Accuracy 95% CI,Accuracy SD,Precision,Precision 95% CI,Precision SD,Recall,Recall 95% CI,Recall SD,Sensitivity,Sensitivity 95% CI,Sensitivity SD,Specificity,Specificity 95% CI,Specificity SD,F1,F1 95% CI,F1 SD,Brier,Brier 95% CI,Brier SD
HybridXGBRF (Our Approach),0.8878214970849616,0.888 (0.883-0.893),0.0026582091214749784,0.8657378352370194,0.866 (0.862-0.869),0.001902548059977659,0.7877266387726639,0.788 (0.775-0.799),0.006305221960701594,0.5356600910470409,0.536 (0.523-0.549),0.006966224317926071,0.5356600910470409,0.536 (0.523-0.549),0.006966224317926071,0.9591497128133555,0.959 (0.956-0.962),0.0014490678230926004,0.6376877046403975,0.638 (0.626-0.649),0.0059663662152376375,0.10053592597035696,0.101 (0.099-0.103),0.0010532440553739488
LogisticRegression (max_iter=200),0.8570589243556253,0.857 (0.851-0.863),0.00313596396568984,0.8408853186059161,0.841 (0.837-0.844),0.002078360419609667,0.6985671803190051,0.699 (0.685-0.710),0.006662533462983841,0.49013657056145676,0.490 (0.476-0.505),0.007362615558429206,0.49013657056145676,0.490 (0.476-0.505),0.007362615558429206,0.9401470825057706,0.940 (0.936-0.943),0.0016722274148909826,0.5760784750863894,0.576 (0.563-0.588),0.006468217008686509,0.11553397216239514,0.116 (0.114-0.118),0.0011310218980273624
XGBClassifier,0.884619635619599,0.885 (0.879-0.890),0.0027630334497379884,0.8620559809213003,0.862 (0.858-0.866),0.0018585827699173572,0.7908689248895434,0.791 (0.778-0.803),0.006392088771379686,0.5092943854324734,0.509 (0.496-0.524),0.006871737318779085,0.5092943854324734,0.509 (0.496-0.524),0.006871737318779085,0.9618873798915669,0.962 (0.959-0.964),0.0013810552485419934,0.6195915541709934,0.620 (0.608-0.632),0.006056041789931202,0.10344467670290772,0.103 (0.102-0.105),0.0009781724466425103
RandomForestClassifier,0.87062913273975,0.871 (0.865-0.877),0.0030550821838743938,0.857997573323292,0.858 (0.854-0.861),0.001906329769395807,0.7488076311605724,0.749 (0.736-0.759),0.006101488258564672,0.5360394537177542,0.536 (0.523-0.550),0.006946812313556371,0.5360394537177542,0.536 (0.523-0.550),0.006946812313556371,0.9491116001932471,0.949 (0.946-0.952),0.0015455578671355916,0.6248065443289852,0.625 (0.614-0.636),0.005826934104863538,0.1059438193770698,0.106 (0.104-0.108),0.001197239767271253
LogisticRegression (max_iter=1000),0.8570589243556253,0.857 (0.851-0.863),0.00313596396568984,0.8408853186059161,0.841 (0.837-0.844),0.002078360419609667,0.6985671803190051,0.699 (0.685-0.710),0.006662533462983841,0.49013657056145676,0.490 (0.476-0.505),0.007362615558429206,0.49013657056145676,0.490 (0.476-0.505),0.007362615558429206,0.9401470825057706,0.940 (0.936-0.943),0.0016722274148909826,0.5760784750863894,0.576 (0.563-0.588),0.006468217008686509,0.11553397216239514,0.116 (0.114-0.118),0.0011310218980273624
Ridge,0.8551964957714778,0.855 (0.849-0.862),0.003159190525611514,0.8411363541274424,0.841 (0.837-0.845),0.002057998356927058,0.7038982582250484,0.704 (0.690-0.716),0.0066787798715119626,0.48292867981790594,0.483 (0.468-0.497),0.007326875304625805,0.48292867981790594,0.483 (0.468-0.497),0.007326875304625805,0.9425089913575608,0.943 (0.939-0.945),0.0016168619198514498,0.5728428394645066,0.573 (0.560-0.585),0.006513738292120521,0.11622977554971517,0.116 (0.114-0.118),0.0011122351021923904
Lasso,0.8558243818215125,0.856 (0.850-0.862),0.0031560271535651537,0.8409689971130915,0.841 (0.837-0.845),0.002044715006930562,0.7004633415099483,0.700 (0.687-0.713),0.006607511754967338,0.48748103186646435,0.487 (0.473-0.502),0.007230888493252334,0.48748103186646435,0.487 (0.473-0.502),0.007230888493252334,0.9410059584518761,0.941 (0.937-0.944),0.0016401477673014077,0.5748797673638295,0.575 (0.562-0.586),0.006385744268303126,0.11590691432525413,0.116 (0.114-0.118),0.0011210453807851393
Elastic,0.8555251823991361,0.856 (0.850-0.862),0.003157444536591365,0.841052675620267,0.841 (0.837-0.845),0.0020464029322545124,0.7025020621391257,0.703 (0.689-0.714),0.006644272532736765,0.4846358118361153,0.485 (0.470-0.499),0.007257142454861689,0.4846358118361153,0.485 (0.470-0.499),0.007257142454861689,0.9419185141446133,0.942 (0.938-0.945),0.0016262414930846264,0.5735772814008306,0.574 (0.561-0.585),0.006437054841160304,0.11606828294768098,0.116 (0.114-0.118),0.0011163924322793626
