Metric,Estimate,95% CI Low,95% CI High,Formatted
Calibration Intercept,0.19678874192448834,0.15981773266405822,0.23486214323581353,0.197 (0.160-0.235)
Calibration Slope,1.2143346724914166,1.1823226918837189,1.2489176252467729,1.214 (1.182-1.249)
Observed,5272.0,5272.0,5272.0,5272.000 (5272.000-5272.000)
Expected,5269.638506970368,5213.143940013135,5324.450600482523,5269.639 (5213.144-5324.451)
Observed/Expected,1.0004481318835263,0.9901491096195082,1.0112899678643374,1.000 (0.990-1.011)
Brier,0.10053592597035696,0.09855401558606283,0.10253068486415706,0.101 (0.099-0.103)
