Subgroup,Support (n),Positives (n),Accuracy,Accuracy 95% CI,Precision,Precision 95% CI,Recall,Recall 95% CI,F1,F1 95% CI,AUROC,AUROC 95% CI
ADL improvement,5524,1658,0.8513758146270818,0.851 (0.845-0.859),0.8561702127659574,0.856 (0.840-0.873),0.6067551266586249,0.607 (0.583-0.629),0.710201200141193,0.710 (0.693-0.728),0.9094239346203986,0.909 (0.902-0.916)
ADL decline,692,123,0.8251445086705202,0.825 (0.821-0.832),0.6666666666666666,0.667 (0.333-1.000),0.032520325203252036,0.033 (0.008-0.065),0.06201550387596899,0.062 (0.016-0.119),0.7070384499978567,0.707 (0.659-0.751)
Female,3043,714,0.8665790338481761,0.867 (0.856-0.876),0.8362445414847162,0.836 (0.803-0.872),0.5364145658263305,0.536 (0.503-0.572),0.6535836177474402,0.654 (0.623-0.684),0.8995180725789671,0.900 (0.888-0.910)
Male,3173,1067,0.8310746927198235,0.831 (0.823-0.843),0.8672199170124482,0.867 (0.848-0.891),0.5876288659793815,0.588 (0.566-0.610),0.7005586592178771,0.701 (0.682-0.722),0.8923902875792911,0.892 (0.880-0.905)
Age <= 85,4292,1181,0.8492544268406338,0.849 (0.840-0.858),0.8485639686684073,0.849 (0.828-0.872),0.550381033022862,0.550 (0.521-0.570),0.6676938880328711,0.668 (0.644-0.685),0.8951005840628334,0.895 (0.886-0.905)
Age > 85,1924,600,0.8466735966735967,0.847 (0.836-0.859),0.8674698795180723,0.867 (0.840-0.896),0.6,0.600 (0.567-0.639),0.7093596059113301,0.709 (0.683-0.738),0.9027127391742196,0.903 (0.888-0.916)
