Metric,Estimate,95% CI Low,95% CI High,Formatted
Calibration Intercept,0.5162610554979665,0.4595231440635886,0.6049779653140461,0.516 (0.460-0.605)
Calibration Slope,1.2714007813286843,1.2256444232917694,1.3357364604636635,1.271 (1.226-1.336)
Observed,1781.0,1781.0,1781.0,1781.000 (1781.000-1781.000)
Expected,1578.5928965769708,1549.553851811355,1611.636657639523,1578.593 (1549.554-1611.637)
Observed/Expected,1.1282199507307615,1.1050906752698877,1.1493633326183628,1.128 (1.105-1.149)
Brier,0.11220907323785885,0.10799106603951941,0.11625965420058033,0.112 (0.108-0.116)
