Model,AUROC,AUROC 95% CI,AUROC SD,Accuracy,Accuracy 95% CI,Accuracy SD,Precision,Precision 95% CI,Precision SD,Recall,Recall 95% CI,Recall SD,Sensitivity,Sensitivity 95% CI,Sensitivity SD,Specificity,Specificity 95% CI,Specificity SD,F1,F1 95% CI,F1 SD,Brier,Brier 95% CI,Brier SD
HybridXGBRF (Our Approach),0.8878214970849616,0.888 (0.883-0.893),0.0025655109729725697,0.8657378352370194,0.866 (0.862-0.869),0.001809976160804114,0.7877266387726639,0.788 (0.776-0.800),0.005982969723327755,0.5356600910470409,0.536 (0.523-0.548),0.006632998801686396,0.5356600910470409,0.536 (0.523-0.548),0.006632998801686396,0.9591497128133555,0.959 (0.956-0.962),0.001378938934854055,0.6376877046403975,0.638 (0.626-0.648),0.005678809289962863,0.10053592597035696,0.101 (0.099-0.102),0.001038272788807278
LogisticRegression (max_iter=200),0.8570589243556253,0.857 (0.852-0.864),0.0032664206747598195,0.8408853186059161,0.841 (0.837-0.844),0.0020965750845266637,0.6985671803190051,0.699 (0.685-0.710),0.006750416651648865,0.49013657056145676,0.490 (0.477-0.503),0.007015698516464563,0.49013657056145676,0.490 (0.477-0.503),0.007015698516464563,0.9401470825057706,0.940 (0.937-0.943),0.0016498414354890305,0.5760784750863894,0.576 (0.565-0.588),0.006352718209000754,0.11553397216239514,0.116 (0.113-0.117),0.0011916342922239274
XGBClassifier,0.884619635619599,0.885 (0.880-0.890),0.002664423245364791,0.8620559809213003,0.862 (0.859-0.865),0.001872618707836742,0.7908689248895434,0.791 (0.780-0.804),0.006418968170307221,0.5092943854324734,0.509 (0.496-0.522),0.006883134241730109,0.5092943854324734,0.509 (0.496-0.522),0.006883134241730109,0.9618873798915669,0.962 (0.959-0.964),0.001376847687894186,0.6195915541709934,0.620 (0.608-0.631),0.006091188207171652,0.10344467670290772,0.103 (0.102-0.105),0.0009599279953583071
RandomForestClassifier,0.87062913273975,0.871 (0.865-0.877),0.0030675661750078236,0.857997573323292,0.858 (0.854-0.862),0.0019580629805636676,0.7488076311605724,0.749 (0.737-0.759),0.0061016181669225665,0.5360394537177542,0.536 (0.523-0.550),0.0070801582623885315,0.5360394537177542,0.536 (0.523-0.550),0.0070801582623885315,0.9491116001932471,0.949 (0.946-0.952),0.001505014090602858,0.6248065443289852,0.625 (0.614-0.637),0.006001485944194813,0.1059438193770698,0.106 (0.103-0.108),0.0012942829169923188
LogisticRegression (max_iter=1000),0.8570589243556253,0.857 (0.852-0.864),0.0032664206747598195,0.8408853186059161,0.841 (0.837-0.844),0.0020965750845266637,0.6985671803190051,0.699 (0.685-0.710),0.006750416651648865,0.49013657056145676,0.490 (0.477-0.503),0.007015698516464563,0.49013657056145676,0.490 (0.477-0.503),0.007015698516464563,0.9401470825057706,0.940 (0.937-0.943),0.0016498414354890305,0.5760784750863894,0.576 (0.565-0.588),0.006352718209000754,0.11553397216239514,0.116 (0.113-0.117),0.0011916342922239274
Ridge,0.8551964957714778,0.855 (0.850-0.862),0.0032424597644172327,0.8411363541274424,0.841 (0.837-0.845),0.0021544018639661237,0.7038982582250484,0.704 (0.691-0.716),0.006925562044326402,0.48292867981790594,0.483 (0.469-0.496),0.0072824738733440275,0.48292867981790594,0.483 (0.469-0.496),0.0072824738733440275,0.9425089913575608,0.943 (0.939-0.945),0.0016058679073245373,0.5728428394645066,0.573 (0.561-0.584),0.006677214534310891,0.11622977554971517,0.116 (0.114-0.118),0.0011682118594779484
Lasso,0.8558243818215125,0.856 (0.850-0.863),0.0032376901938395417,0.8409689971130915,0.841 (0.837-0.845),0.002147004756194217,0.7004633415099483,0.700 (0.688-0.712),0.006855732485387343,0.48748103186646435,0.487 (0.474-0.501),0.007197637027872201,0.48748103186646435,0.487 (0.474-0.501),0.007197637027872201,0.9410059584518761,0.941 (0.937-0.944),0.0016253549348076133,0.5748797673638295,0.575 (0.563-0.587),0.0065690647948456775,0.11590691432525413,0.116 (0.113-0.118),0.001177102946197912
Elastic,0.8555251823991361,0.856 (0.850-0.863),0.0032406800087922648,0.841052675620267,0.841 (0.837-0.845),0.0021437607403447835,0.7025020621391257,0.703 (0.690-0.715),0.006895352988070483,0.4846358118361153,0.485 (0.471-0.497),0.007198559713190819,0.4846358118361153,0.485 (0.471-0.497),0.007198559713190819,0.9419185141446133,0.942 (0.938-0.945),0.0016171221041770987,0.5735772814008306,0.574 (0.562-0.585),0.006595232642010311,0.11606828294768098,0.116 (0.114-0.118),0.0011726938286487011
