Cohort,Stratum,N residents,N facilities,Overall missing percent,Death/event rate,Median observation days
Excluded residents,中,8005,148,0.44761607328752867,0.0,28.0
Excluded residents,大,2115,34,0.43164893617021277,0.0,30.0
Excluded residents,小,8996,309,0.46400251963835776,0.0,30.0
