Accuracy,Precision,Recall,Sensitivity,Specificity,PPV,NPV,F1,AUROC,Brier,TP,FP,TN,FN,Model,Fold
0.8577703409328592,0.7713458755426917,0.5052132701421801,0.5052132701421801,0.9575952764358562,0.7713458755426917,0.8723716381418093,0.6105383734249714,0.8855680462384219,0.1026124733906017,533,158,3568,522,HybridXGBRF (Our Approach),1
0.8667364016736402,0.7924263674614306,0.5360531309297912,0.5360531309297912,0.9602791196994096,0.7924263674614306,0.8797639537742808,0.6395019807583475,0.8942624319999675,0.09843795303384327,565,148,3578,489,HybridXGBRF (Our Approach),2
0.8742677824267783,0.8106995884773662,0.5607210626185958,0.5607210626185958,0.9629629629629629,0.8106995884773662,0.8857072327820291,0.6629276500280427,0.8870728385894902,0.09934664459325344,591,138,3588,463,HybridXGBRF (Our Approach),3
0.8631799163179916,0.7645502645502645,0.5483870967741935,0.5483870967741935,0.9522275899087493,0.7645502645502645,0.8817097415506958,0.6386740331491713,0.8844387762896961,0.10146374992523279,578,178,3548,476,HybridXGBRF (Our Approach),4
0.8667364016736402,0.8002873563218391,0.5279620853080569,0.5279620853080569,0.9626845637583893,0.8002873563218391,0.8780607247796278,0.6362078812107367,0.8883243105696745,0.10081837448470707,557,139,3586,498,HybridXGBRF (Our Approach),5
0.8343442794394478,0.681881051175657,0.46729857819905213,0.46729857819905213,0.9382716049382716,0.681881051175657,0.8615081320847708,0.5545556805399325,0.8529999262261094,0.11720188364046272,493,230,3496,562,LogisticRegression (max_iter=200),1
0.8435146443514644,0.713091922005571,0.4857685009487666,0.4857685009487666,0.9447128287707998,0.713091922005571,0.8665681930083703,0.5778781038374717,0.8626717634225266,0.11319792357736831,512,206,3520,542,LogisticRegression (max_iter=200),2
0.8460251046025105,0.7103174603174603,0.5094876660341556,0.5094876660341556,0.9412238325281803,0.7103174603174603,0.8715208747514911,0.5933701657458563,0.8536621728843217,0.1150012531111617,537,219,3507,517,LogisticRegression (max_iter=200),3
0.8416317991631799,0.6956521739130435,0.5009487666034156,0.5009487666034156,0.9380032206119162,0.6956521739130435,0.8691867694603332,0.5824600110314396,0.8559659747749289,0.11554279840560867,528,231,3495,526,LogisticRegression (max_iter=200),4
0.8389121338912134,0.6917900403768507,0.4872037914691943,0.4872037914691943,0.9385234899328859,0.6917900403768507,0.8659895962348279,0.5717463848720801,0.8602036960463119,0.11672565314191861,514,229,3496,541,LogisticRegression (max_iter=200),5
0.8548420832461828,0.7658321060382917,0.4928909952606635,0.4928909952606635,0.9573268921095008,0.7658321060382917,0.8695758166747928,0.5997693194925029,0.8853457069955455,0.10506629436019933,520,159,3567,535,XGBClassifier,1
0.8656903765690377,0.7968299711815562,0.5246679316888045,0.5246679316888045,0.962157809983897,0.7968299711815562,0.8773861967694567,0.6327231121281465,0.8935890521602647,0.10089755061004217,553,141,3585,501,XGBClassifier,2
0.8696652719665272,0.8100719424460432,0.5341555977229602,0.5341555977229602,0.964573268921095,0.8100719424460432,0.8798041615667075,0.6437964551172098,0.8856835550177683,0.10190804976348836,563,132,3594,491,XGBClassifier,3
0.8596234309623431,0.780380673499268,0.5056925996204934,0.5056925996204934,0.9597423510466989,0.780380673499268,0.8728337808152307,0.6137017846862406,0.878601926459639,0.10461447595497544,533,150,3576,521,XGBClassifier,4
0.8604602510460251,0.8012422360248447,0.4890995260663507,0.4890995260663507,0.9656375838926174,0.8012422360248447,0.8696808510638298,0.607416127133608,0.8815447056204078,0.1047366735752774,516,128,3597,539,XGBClassifier,5
0.8542145994561807,0.7342931937172775,0.5317535545023697,0.5317535545023697,0.9455179817498658,0.7342931937172775,0.8770226537216829,0.616822429906542,0.8657968979350942,0.10827249804557863,561,203,3523,494,RandomForestClassifier,1
0.8663179916317991,0.7807848443843031,0.547438330170778,0.547438330170778,0.9565217391304348,0.7807848443843031,0.8819599109131403,0.6436140546569994,0.8836420262354593,0.10124576297076072,577,162,3564,477,RandomForestClassifier,2
0.8631799163179916,0.7604166666666666,0.5540796963946869,0.5540796963946869,0.9506172839506173,0.7604166666666666,0.882851445663011,0.6410537870472008,0.8730861702116826,0.10403042207495776,584,184,3542,470,RandomForestClassifier,3
0.8531380753138076,0.7328042328042328,0.5256166982922201,0.5256166982922201,0.9457863660762211,0.7328042328042328,0.8757455268389662,0.6121546961325967,0.8615557022247889,0.10941101215894482,554,202,3524,500,RandomForestClassifier,4
0.8531380753138076,0.7362784471218207,0.5213270142180095,0.5213270142180095,0.9471140939597316,0.7362784471218207,0.8747830399206546,0.6104328523862376,0.8693113648652946,0.10675891446383762,550,197,3528,505,RandomForestClassifier,5
0.8343442794394478,0.681881051175657,0.46729857819905213,0.46729857819905213,0.9382716049382716,0.681881051175657,0.8615081320847708,0.5545556805399325,0.8529999262261094,0.11720188364046272,493,230,3496,562,LogisticRegression (max_iter=1000),1
0.8435146443514644,0.713091922005571,0.4857685009487666,0.4857685009487666,0.9447128287707998,0.713091922005571,0.8665681930083703,0.5778781038374717,0.8626717634225266,0.11319792357736831,512,206,3520,542,LogisticRegression (max_iter=1000),2
0.8460251046025105,0.7103174603174603,0.5094876660341556,0.5094876660341556,0.9412238325281803,0.7103174603174603,0.8715208747514911,0.5933701657458563,0.8536621728843217,0.1150012531111617,537,219,3507,517,LogisticRegression (max_iter=1000),3
0.8416317991631799,0.6956521739130435,0.5009487666034156,0.5009487666034156,0.9380032206119162,0.6956521739130435,0.8691867694603332,0.5824600110314396,0.8559659747749289,0.11554279840560867,528,231,3495,526,LogisticRegression (max_iter=1000),4
0.8389121338912134,0.6917900403768507,0.4872037914691943,0.4872037914691943,0.9385234899328859,0.6917900403768507,0.8659895962348279,0.5717463848720801,0.8602036960463119,0.11672565314191861,514,229,3496,541,LogisticRegression (max_iter=1000),5
0.835808408282786,0.6928571428571428,0.4597156398104265,0.4597156398104265,0.9422973698336017,0.6928571428571428,0.8603283508943886,0.5527065527065527,0.8493224249732252,0.1181822722361692,485,215,3511,570,Ridge,1
0.843723849372385,0.7195994277539342,0.47722960151802657,0.47722960151802657,0.9473966720343532,0.7195994277539342,0.8649840725312423,0.573873359954364,0.8624013420234853,0.1138434331412837,503,196,3530,551,Ridge,2
0.84581589958159,0.7139001349527665,0.5018975332068312,0.5018975332068312,0.9431025228126677,0.7139001349527665,0.8700173310225303,0.5894150417827299,0.8515479460705377,0.11589824611501985,529,212,3514,525,Ridge,3
